student.studentNumber,student.firstName,student.lastName,student.middleName,function.SchoolCode,student.grade,student.birthdate,student.raceEthnicityFed,student.gender
100001,Ella,Whitfield,,0779,3,2010-01-10,1,M
100002,Marcus,Okafor,,7750,7,2011-02-11,2,F
100003,Nora,Bell,,0779,4,2012-03-12,3,M
100004,Maya,Khan,,7750,8,2013-04-13,4,F
100005,Ibrahim,Khan,,0780,12,2014-05-14,5,M
100006,Leo,Garcia,,0780,11,2015-06-15,6,F
100007,Kai,Bauer,,7750,7,2016-07-16,7,M
100008,Malik,Silva,,7760,1,2017-08-17,1,F
100009,Noah,Silva,,7750,6,2010-09-18,2,M
100010,Mia,Johnson,,0780,10,2011-01-10,3,F
100011,Mia,Osei,,0780,9,2012-02-11,4,M
100012,Isabella,Khan,,7760,2,2013-03-12,5,F
100013,Ruby,Delgado,,7760,2,2014-04-13,6,M
100014,Noah,Kim,,7760,PK,2015-05-14,7,F
100015,Omar,Petrov,,7760,1,2016-06-15,1,M
100016,Naomi,Abbott,,7760,PK,2017-07-16,2,F
100017,Diego,Nakamura,,0779,5,2010-08-17,3,M
100018,Mateo,Nakamura,,7750,8,2011-09-18,4,F
100019,Noah,Patel,,0779,5,2012-01-10,5,M
100020,Ruby,Abbott,,7750,7,2013-02-11,6,F
100021,Ethan,Khan,,7760,2,2014-03-12,7,M
100022,Andre,Reyes,,7750,8,2015-04-13,1,F
100023,Talia,Abbott,,7760,2,2016-05-14,2,M
100024,Mason,Abbott,,0780,9,2017-06-15,3,F
100025,Mason,Brooks,,0779,5,2010-07-16,4,M
100026,Fatima,Williams,,7750,7,2011-08-17,5,F
100027,Nina,Williams,,7760,1,2012-09-18,6,M
100028,Santiago,Rivera,,0779,5,2013-01-10,7,F
100029,Lucas,Ahmed,,0779,5,2014-02-11,1,M
100030,Mateo,Flores,,7760,PK,2015-03-12,2,F
100031,Omar,Rossi,,7760,PK,2016-04-13,3,M
100032,Malik,Rossi,,0780,10,2017-05-14,4,F
100033,Jonah,Long,,0779,5,2010-06-15,5,M
100034,Grace,Long,,0782,UG,2011-07-16,6,F
100035,Maya,Cohen,,7750,7,2012-08-17,7,M
100036,Talia,Nakamura,,7750,6,2013-09-18,1,F
100037,Maya,Reyes,,0782,UG,2014-01-10,2,M
100038,Chloe,Reyes,,0779,3,2015-02-11,3,F
100039,Lucas,Reyes,,0780,12,2016-03-12,4,M
100040,Priya,Ahmed,,7760,1,2017-04-13,5,F
100041,Chloe,Hernandez,,0779,4,2010-05-14,6,M
100042,Zoe,Ahmed,,0780,11,2011-06-15,7,F
100043,Diego,Garcia,,7760,PK,2012-07-16,1,M
100044,Mia,Garcia,,0780,10,2013-08-17,2,F
100045,Andre,Khan,,0779,5,2014-09-18,3,M
100046,Andre,Bauer,,0780,11,2015-01-10,4,F
100047,Jonah,Torres,,0779,3,2016-02-11,5,M
100048,Aisha,Rossi,,0779,5,2017-03-12,6,F
100049,Ava,Long,,7760,2,2010-04-13,7,M
100050,Yusuf,Rivera,,7760,PK,2011-05-14,1,F
100051,Diego,Hernandez,,0780,12,2012-06-15,2,M
100052,Mia,Okafor,,0780,12,2013-07-16,3,F
100053,Lucas,Nguyen,,0779,4,2014-08-17,4,M
100054,Aisha,Haddad,,7750,6,2015-09-18,5,F
100055,Ethan,Ford,,7760,K,2016-01-10,6,M
100056,Fatima,Bauer,,0779,4,2017-02-11,7,F
100057,Nora,Rivera,,0780,9,2010-03-12,1,M
100058,Elijah,Ahmed,,0779,3,2011-04-13,2,F
100059,Jonah,Long,,7760,K,2012-05-14,3,M
100060,Elijah,Silva,,7760,K,2013-06-15,4,F
100061,Jonah,Hernandez,,7760,1,2014-07-16,5,M
100062,Harper,Williams,,0779,4,2015-08-17,6,F
100063,Ibrahim,Rivera,,0780,12,2016-09-18,7,M
100064,Malik,Okafor,,7760,K,2017-01-10,1,F
100065,Fatima,Nakamura,,7750,6,2010-02-11,2,M
100066,Priya,Long,,7750,6,2011-03-12,3,F
100067,Naomi,Martin,,7760,1,2012-04-13,4,M
100068,Priya,Nakamura,,0779,4,2013-05-14,5,F
100069,Jonah,Patel,,7760,PK,2014-06-15,6,M
100070,Ethan,Haddad,,0779,5,2015-07-16,7,F
100071,Kai,Haddad,,0780,9,2016-08-17,1,M
100072,Talia,Rossi,,7750,6,2017-09-18,2,F
100073,Lucas,Kim,,0780,10,2010-01-10,3,M
100074,Chloe,Okafor,,7760,PK,2011-02-11,4,F
100075,Chloe,Silva,,0779,4,2012-03-12,5,M
100076,Ruby,Bauer,,0779,4,2013-04-13,6,F
100077,Elijah,Petrov,,0780,9,2014-05-14,7,M
100078,Talia,Petrov,,7750,8,2015-06-15,1,F
100079,Diego,Petrov,,7750,8,2016-07-16,2,M
100080,Isabella,Delgado,,0779,5,2017-08-17,3,F
100081,Hugo,Bauer,,7760,PK,2010-09-18,4,M
100082,Mia,Rossi,,0779,5,2011-01-10,5,F
100083,Maya,Petrov,,7750,7,2012-02-11,6,M
100084,Mason,Patel,,7750,7,2013-03-12,7,F
100085,Yusuf,Patel,,0780,12,2014-04-13,1,M
100086,Grace,Cohen,,7750,6,2015-05-14,2,F
100087,Ava,Williams,,7750,6,2016-06-15,3,M
100088,Lucas,Abbott,,7750,7,2017-07-16,4,F
100089,Harper,Rivera,,0780,12,2010-08-17,5,M
100090,Layla,Williams,,0780,9,2011-09-18,6,F
100091,Fatima,Johnson,,0780,10,2012-01-10,7,M
100092,Jonah,Cohen,,7760,K,2013-02-11,1,F
100093,Mason,Patel,,0779,3,2014-03-12,2,M
100094,Jonah,Patel,,0780,9,2015-04-13,3,F
100095,Ava,Cohen,,0780,11,2016-05-14,4,M
100096,Harper,Nakamura,,7750,8,2017-06-15,5,F
100097,Aarav,Osei,,0779,3,2010-07-16,6,M
100098,Santiago,Delgado,,0779,5,2011-08-17,7,F
100099,Ibrahim,Khan,,0780,12,2012-09-18,1,M
100100,Amara,Rivera,,7760,1,2013-01-10,2,F
100101,Chloe,Khan,,0779,5,2014-02-11,3,M
100102,Andre,Delgado,,0780,9,2015-03-12,4,F
100103,Wyatt,Delgado,,7750,7,2016-04-13,5,M
100104,Fatima,Garcia,,0780,11,2017-05-14,6,F
