student.studentNumber,student.firstName,student.lastName,student.middleName,function.SchoolCode,student.grade,student.birthdate,student.raceEthnicityFed,student.gender
100001,Ella,Whitfield,,0779,3,2010-01-10,1,M
100002,,Okafor,,7750,7,2011-02-11,2,F
100003,Nora,Bell,,0779,4,2012-03-12,3,M
100004,Isaac,Bell,,0779,5,2013-04-13,4,F
100005,Maya,Santos,,0779,3,2014-05-14,5,M
100006,Leo,Santos,,0779,4,2015-06-15,6,F
100007,Amina,Cole,,0779,5,2016-07-16,7,M
100008,Maya,Khan,,0780,12,2017-08-17,1,F
100009,Ibrahim,Khan,,7760,2,2010-09-18,2,M
100010,Leo,Garcia,,7760,1,2011-01-10,3,F
100011,Kai,Bauer,,0780,10,2012-02-11,4,M
100012,Malik,Silva,,0780,11,2013-03-12,5,F
100013,Noah,Silva,,7760,PK,2014-04-13,6,M
100014,Mia,Johnson,,0780,10,2015-05-14,7,F
100015,Mia,Osei,,0779,3,2016-06-15,1,M
100016,Isabella,Khan,,7760,2,2017-07-16,2,F
100017,Ruby,Delgado,,0779,5,2010-08-17,3,M
100018,Noah,Kim,,7760,PK,2011-09-18,4,F
100019,Omar,Petrov,,7760,1,2012-01-10,5,M
100020,Naomi,Abbott,,0780,9,2013-02-11,6,F
100021,Diego,Nakamura,,7750,8,2014-03-12,7,M
100022,Mateo,Nakamura,,0780,12,2015-04-13,1,F
100023,Noah,Patel,,7760,2,2016-05-14,2,M
100024,Ruby,Abbott,,7750,7,2017-06-15,3,F
100025,Ethan,Khan,,7750,8,2010-07-16,4,M
100026,Andre,Reyes,,0780,12,2011-08-17,5,F
100027,Talia,Abbott,,0781,UG,2012-09-18,6,M
100028,Mason,Abbott,,7760,PK,2013-01-10,7,F
100029,Mason,Brooks,,7760,2,2014-02-11,1,M
100030,Fatima,Williams,,7760,K,2015-03-12,2,F
100031,Nina,Williams,,7750,8,2016-04-13,3,M
100032,Santiago,Rivera,,0779,5,2017-05-14,4,F
100033,Lucas,Ahmed,,0779,5,2010-06-15,5,M
100034,Mateo,Flores,,0779,3,2011-07-16,6,F
100035,Omar,Rossi,,7750,6,2012-08-17,7,M
100036,Malik,Rossi,,7760,K,2013-09-18,1,F
100037,Jonah,Long,,0782,UG,2014-01-10,2,M
100038,Grace,Long,,7750,7,2015-02-11,3,F
100039,Maya,Cohen,,7750,7,2016-03-12,4,M
100040,Talia,Nakamura,,7750,6,2017-04-13,5,F
100041,Maya,Reyes,,0782,UG,2010-05-14,6,M
100042,Chloe,Reyes,,7760,PK,2011-06-15,7,F
100043,Lucas,Reyes,,7750,8,2012-07-16,1,M
100044,Priya,Ahmed,,0780,11,2013-08-17,2,F
100045,Chloe,Hernandez,,0779,4,2014-09-18,3,M
100046,Zoe,Ahmed,,0780,11,2015-01-10,4,F
100047,Diego,Garcia,,7760,PK,2016-02-11,5,M
100048,Mia,Garcia,,7760,K,2017-03-12,6,F
100049,Andre,Khan,,7750,8,2010-04-13,7,M
100050,Andre,Bauer,,7750,8,2011-05-14,1,F
100051,Jonah,Torres,,7750,6,2012-06-15,2,M
100052,Aisha,Rossi,,0779,5,2013-07-16,3,F
100053,Ava,Long,,0780,12,2014-08-17,4,M
100054,Yusuf,Rivera,,0779,3,2015-09-18,5,F
100055,Diego,Hernandez,,7760,2,2016-01-10,6,M
100056,Mia,Okafor,,0779,5,2017-02-11,7,F
100057,Lucas,Nguyen,,0779,4,2010-03-12,1,M
100058,Aisha,Haddad,,0779,3,2011-04-13,2,F
100059,Ethan,Ford,,7760,K,2012-05-14,3,M
100060,Fatima,Bauer,,0780,10,2013-06-15,4,F
100061,Nora,Rivera,,7760,PK,2014-07-16,5,M
100062,Elijah,Ahmed,,7750,6,2015-08-17,6,F
100063,Jonah,Long,,7750,7,2016-09-18,7,M
100064,Elijah,Silva,,7760,K,2017-01-10,1,F
100065,Jonah,Hernandez,,0780,11,2010-02-11,2,M
100066,Harper,Williams,,0779,4,2011-03-12,3,F
100067,Ibrahim,Rivera,,0780,12,2012-04-13,4,M
100068,Malik,Okafor,,7750,7,2013-05-14,5,F
